,kabupaten/kota_code_x,kabupaten/kota,komposit,ncpr,kemiskinan_(%),pengeluaran_pangan_(%),tanpa_listrik_(%),tanpa_air_bersih_(%),lama_sekolah_perempuan_(tahun),rasio_tenaga_kesehatan,angka_harapan_hidup_(tahun),stunting_(%),ikp,ikp_ranking,tahun,angka_harapan_hidup,harapan_lama_sekolah,rata_rata_lama_sekolah,pdrb_perkapita_ribu,ipm,Latitude,Longitude
0,3501,kab. pacitan,6,0.44,13.67,37.14,0.11,31.39,7.35,1.2,71.77,11.84,80.23,126,2024,73.04,12.69,7.9,35096,71.49,"-8,125","111,17806"
1,3502,kab. ponorogo,6,0.26,9.64,24.0,0.05,27.01,7.36,0.61,72.65,8.06,84.7,36,2024,73.74,13.78,7.8,28088,73.7,"-7,866688","111,466614"
2,3503,kab. trenggalek,6,0.52,10.98,28.89,0.0,40.39,7.35,0.75,73.59,26.78,80.39,120,2024,74.83,12.63,7.92,32726,72.47,"-8,08641","111,713127"
3,3504,kab. tulungagung,6,0.49,6.74,23.22,0.0,33.82,7.92,0.47,73.95,13.7,84.56,38,2024,75.11,13.36,8.68,46009,75.13,"-8,1194","111,9061"
4,3505,kab. blitar,6,0.49,8.94,20.38,0.08,31.35,7.53,0.89,73.39,16.1,83.81,52,2024,74.54,12.67,7.87,37811,73.44,"-8,0472","112,2144"
5,3506,kab. kediri,6,0.78,10.42,32.35,0.0,38.57,8.2,0.64,72.54,24.49,79.19,156,2024,73.47,13.63,8.26,32339,75.18,"-7,83333","112,16667"
6,3507,kab. malang,6,0.95,9.47,27.91,0.0,17.41,7.52,0.95,72.45,25.56,81.6,95,2024,73.45,13.49,7.8,50593,73.53,"-8,16667","112,66667"
7,3508,kab. lumajang,6,0.5,9.49,41.52,0.0,42.1,6.33,0.87,69.94,23.4,77.57,191,2024,71.14,12.41,7.27,37579,70.31,"-8,1335","113,225"
8,3509,kab. jember,6,0.57,9.25,40.99,0.04,44.49,6.46,0.79,68.99,37.94,75.72,217,2024,70.2,13.5,6.54,39464,70.93,"-8,23333","113,66667"
9,3510,kab. banyuwangi,6,0.57,7.52,17.91,0.46,30.08,7.12,1.81,70.54,2.44,82.4,83,2024,71.57,13.14,7.78,62086,74.3,"-8,21667","114,36667"
10,3511,kab. bondowoso,5,0.43,13.33,53.37,0.0,38.04,5.8,0.79,66.55,37.22,73.68,247,2024,67.76,13.33,6.53,33501,71.22,"-7,9404","113,9834"
11,3512,kab. situbondo,6,0.42,11.2,44.23,0.0,35.33,6.03,1.64,68.97,10.6,77.89,180,2024,70.11,13.2,6.93,38677,71.22,"-7,734","114,1439"
12,3513,kab. probolinggo,5,0.74,17.76,47.64,1.26,36.36,5.93,0.83,67.0,54.75,69.72,294,2024,68.28,12.64,6.31,38537,70.85,"-7,7768","113,3648"
13,3514,kab. pasuruan,6,0.75,8.68,33.2,0.0,37.49,7.42,0.66,70.17,29.27,78.26,174,2024,71.0,12.78,7.46,121689,72.36,"-7,73333","112,83333"
14,3515,kab. sidoarjo,6,1.77,5.32,14.23,0.0,9.97,9.58,0.12,73.98,8.96,83.42,63,2024,74.91,15.22,10.91,136721,82.67,"-7,45","112,7"
15,3516,kab. mojokerto,6,0.47,9.75,23.63,0.0,14.44,8.54,0.31,72.43,15.3,85.92,22,2024,73.45,12.99,9.13,98011,76.69,"-7,5092","112,559"
16,3517,kab. jombang,6,0.51,9.22,31.66,0.0,25.93,8.62,0.33,72.27,4.6,83.43,62,2024,73.42,13.61,8.78,39553,75.67,"-7,55","112,23333"
17,3518,kab. nganjuk,6,0.36,11.24,42.3,0.14,23.74,7.76,0.58,71.44,26.61,81.98,92,2024,72.48,13.18,8.25,32047,75.24,"-7,6","111,9"
18,3519,kab. madiun,6,0.27,10.54,31.25,0.05,15.48,7.92,0.75,71.22,7.7,85.0,33,2024,72.47,13.27,8.2,33712,74.81,"-7,6298","111,5239"
19,3520,kab. magetan,6,0.35,9.61,25.7,0.0,9.08,7.65,0.45,72.49,8.31,86.87,11,2024,73.49,14.08,8.69,35853,76.77,"-7,65","111,35"
20,3521,kab. ngawi,6,0.17,14.39,35.58,0.0,19.69,7.13,0.59,72.16,28.7,83.0,73,2024,73.39,12.89,7.84,29347,73.91,"-7,4","111,33333"
21,3522,kab. bojonegoro,6,0.27,12.38,34.47,0.12,14.91,7.28,0.83,71.36,12.0,83.73,55,2024,72.76,13.18,7.59,76808,72.75,"-7,16667","111,88333"
