,kabupaten/kota,stunting_(%),kemiskinan_(%),pengeluaran_pangan_(%),tanpa_air_bersih_(%),tanpa_listrik_(%),ipm,lama_sekolah_perempuan_(tahun),angka_harapan_hidup_(tahun),harapan_lama_sekolah,rata_rata_lama_sekolah,pdrb_perkapita_ribu,cluster
0,kab. bangkalan,21.574,19.964,52.342,34.8,0.046,66.17,6.07,70.36800000000001,11.838,5.978,24358.8,0
1,kab. banyuwangi,13.213999999999999,7.7,19.47,24.066,0.11000000000000001,73.14200000000001,7.468000000000001,70.87,13.053999999999998,7.608,54291.4,0
2,kab. blitar,17.1,9.064,19.901999999999997,25.596,0.038,72.20599999999999,7.848000000000001,73.768,12.610000000000001,7.704000000000001,33416.2,0
3,kab. bojonegoro,17.68,12.581999999999999,30.012,13.568000000000001,0.08,71.316,7.446000000000001,71.874,12.802000000000001,7.446,69205.8,0
4,kab. bondowoso,27.144,13.808000000000002,45.903999999999996,35.757999999999996,0.032,70.006,6.112,67.014,13.306000000000001,6.198,29373.0,0
5,kab. gresik,15.940000000000001,11.638,15.0,1.542,0.0,77.712,9.648,72.846,13.882,9.782,120697.8,1
6,kab. jember,31.227999999999998,9.73,40.576,34.986000000000004,0.024,69.872,6.616,69.426,13.456,6.508,34474.0,0
7,kab. jombang,14.459999999999999,9.47,31.172000000000004,21.163999999999998,0.0,74.64399999999999,8.606,72.648,13.524000000000001,8.681999999999999,34517.6,0
8,kab. kediri,19.518,10.966,29.514,34.736000000000004,0.016,74.034,8.262,72.808,13.49,8.178,28263.8,0
9,kab. lamongan,18.9,13.174000000000001,24.006,8.912,0.124,74.686,8.219999999999999,72.648,13.862,8.245999999999999,33301.4,0
10,kab. lumajang,27.419999999999998,9.472,40.540000000000006,35.510000000000005,0.12,68.57000000000001,7.008,70.364,12.056000000000001,6.9239999999999995,32757.4,0
11,kab. madiun,13.872,11.148,26.43,20.476,0.05600000000000001,73.67,7.82,71.65599999999999,13.202000000000002,7.946000000000001,29404.6,0
12,kab. magetan,15.762,10.052,26.794,13.668000000000001,0.0,75.752,8.296000000000001,72.798,14.053999999999998,8.547999999999998,31572.0,0
13,kab. malang,22.651999999999997,9.824000000000002,27.318,25.486,0.0,72.296,7.756,72.764,13.354,7.617999999999999,43999.6,0
14,kab. mojokerto,17.339999999999996,10.09,29.119999999999997,15.412,0.006,75.602,8.766,72.74600000000001,12.95,8.898,84821.0,0
15,kab. nganjuk,21.222,11.26,36.398,24.194,0.028000000000000004,73.94,7.986,71.762,13.030000000000001,8.034,27792.2,0
16,kab. ngawi,20.68,14.790000000000001,31.004,14.785999999999998,0.0,72.654,7.5120000000000005,72.576,12.822,7.545999999999999,25945.8,0
17,kab. pacitan,19.387999999999998,14.154,32.46,33.362,0.152,70.27000000000001,7.684,72.224,12.664,7.764,30755.2,0
18,kab. pamekasan,24.826,14.325999999999999,44.398,18.753999999999998,0.0,69.59,6.968000000000001,67.808,13.666,6.92,22373.4,0
19,kab. pasuruan,22.174,9.168000000000001,38.314,30.524,0.0,71.26,7.376,70.402,12.66,7.428,105828.0,0
20,kab. ponorogo,14.512,9.74,22.586,20.68,0.054000000000000006,72.57000000000001,7.668000000000001,73.00399999999999,13.756,7.69,24516.4,0
21,kab. probolinggo,33.230000000000004,17.918,43.492000000000004,36.016000000000005,0.308,69.696,6.258,67.492,12.512,6.194,33570.8,0
22,kab. sampang,16.758,22.124000000000002,55.676,18.964000000000002,0.0,65.592,5.464,68.216,12.446000000000002,4.986,22643.0,0
